우선순위,순서,앱,구분,화면/Route,API,QA 체크,기대 결과,결과,판단,Severity,Issue ID,메모,QA_ID
P0,023,User Web,담당자,https://onehandsales.vercel.app/app/contacts,/api/contacts; /api/contacts?filters...,"목록, 필터, 검색, pagination 확인",query와 화면 상태가 일치하고 타 사용자 데이터가 보이지 않는다,,,,,,USER-CONTACT-001
P0,024,User Web,담당자,"https://onehandsales.vercel.app/app/contacts/new, https://onehandsales.vercel.app/app/contacts/new/full, https://onehandsales.vercel.app/app/contacts/:contactId",/api/contacts; /api/contacts/:contactId; /api/contacts/company-options,"회사 연결/미연결 담당자 생성, 상세 조회, 수정 확인",저장 후 목록과 상세가 최신 데이터로 갱신된다,,,,,,USER-CONTACT-002
P0,028,User Web,담당자,https://onehandsales.vercel.app/app/contacts; https://onehandsales.vercel.app/app/trash,/api/contacts/:contactId; /api/trash; /api/trash/:targetType/:targetId/restore,담당자 삭제와 Trash 복구 확인,"삭제 후 Trash 표시, 복구 후 담당자 목록/검색/상세 재노출",,,,,,USER-CONTACT-006
P0,031,User Web,제품,https://onehandsales.vercel.app/app/products,/api/products; /api/products?filters...,"목록, 필터, 검색, pagination 확인",query와 화면 상태가 일치하고 타 사용자 데이터가 보이지 않는다,,,,,,USER-PRODUCT-001
P0,032,User Web,제품,"https://onehandsales.vercel.app/app/products/new, https://onehandsales.vercel.app/app/products/new/full, https://onehandsales.vercel.app/app/products/:productId",/api/products; /api/products/:productId,"가격, 통화, 카테고리, 상태 포함 생성/상세/수정 확인",저장 후 목록과 상세가 최신 데이터로 갱신된다,,,,,,USER-PRODUCT-002
P0,036,User Web,제품,https://onehandsales.vercel.app/app/products; https://onehandsales.vercel.app/app/trash,/api/products/:productId; /api/trash; /api/trash/:targetType/:targetId/restore,"제품 삭제 제한, 삭제, Trash 복구 확인","연결 데이터가 있으면 안전한 제한 메시지, 삭제 후 복구 가능",,,,,,USER-PRODUCT-006
P0,038,User Web,딜,https://onehandsales.vercel.app/app/deals,/api/deals/stage-counts; /api/deals?filters...,"pipeline stage count, 목록, 필터, 검색 확인",stage count와 목록 결과가 일치한다,,,,,,USER-DEAL-001
P0,039,User Web,딜,"https://onehandsales.vercel.app/app/deals/new, https://onehandsales.vercel.app/app/deals/new/full, https://onehandsales.vercel.app/app/deals/:dealId",/api/deals; /api/deals/:dealId; /api/deals/company-options; /api/deals/contact-options; /api/deals/product-options,"회사/담당자/제품 연결 딜 생성, 상세, 수정 확인","금액, currency, close date, stage 변경이 목록/상세에 반영된다",,,,,,USER-DEAL-002
P0,042,User Web,딜,https://onehandsales.vercel.app/app/deals; https://onehandsales.vercel.app/app/trash,/api/deals/:dealId; /api/trash; /api/trash/:targetType/:targetId/restore,"딜 삭제 제한, 삭제, Trash 복구 확인","연결 일정/회의록이 있으면 제한 메시지, 삭제 후 복구 가능",,,,,,USER-DEAL-005
P0,044,User Web,일정,"https://onehandsales.vercel.app/app/schedules, https://onehandsales.vercel.app/app/schedules/week",/api/schedules?view=...&baseDate=...; /api/schedules/week?weekStart=...,"월/주/목록 view, 기준일, timeZone 확인",같은 기준일과 timeZone으로 일정이 일관되게 표시된다,,,,,,USER-SCHEDULE-001
P0,045,User Web,일정,"https://onehandsales.vercel.app/app/schedules, https://onehandsales.vercel.app/app/schedules/:scheduleId",/api/schedules; /api/schedules/:scheduleId; /api/schedules/deal-options,일정 생성/상세/수정과 딜 연결 확인,"시간, location, meeting URL, memo, 딜 연결이 저장된다",,,,,,USER-SCHEDULE-002
P0,047,User Web,일정,https://onehandsales.vercel.app/app/schedules; https://onehandsales.vercel.app/app/trash,/api/schedules/:scheduleId; /api/trash; /api/trash/:targetType/:targetId/restore,일정 삭제와 Trash 복구 확인,"삭제 후 Trash 표시, 복구 후 일정 화면 재노출",,,,,,USER-SCHEDULE-004
P0,050,User Web,회의록,https://onehandsales.vercel.app/app/meeting-notes,/api/meeting-notes; /api/meeting-notes?filters...,"목록, 필터, 검색, create query 확인",목록 상태가 query와 일치하고 create=1 진입이 동작한다,,,,,,USER-MEETING-001
P0,051,User Web,회의록,"https://onehandsales.vercel.app/app/meeting-notes/new/full, https://onehandsales.vercel.app/app/meeting-notes/:meetingNoteId",/api/meeting-notes; /api/meeting-notes/:meetingNoteId; /api/meeting-notes/filter-companies; /api/meeting-notes/filter-contacts; /api/meeting-notes/:meetingNoteId/deals,회사/담당자/제품/딜 연결 회의록 생성/상세/수정 확인,연결 관계와 회의록 본문이 저장되고 상세에 반영된다,,,,,,USER-MEETING-002
P0,053,User Web,회의록,https://onehandsales.vercel.app/app/meeting-notes; https://onehandsales.vercel.app/app/trash,/api/meeting-notes/:meetingNoteId; /api/trash; /api/trash/:targetType/:targetId/restore,회의록 삭제와 Trash 복구 확인,"삭제 후 Trash 표시, 복구 후 목록/검색/딜 활동 반영",,,,,,USER-MEETING-004
P0,054,User Web,회의록,https://onehandsales.vercel.app/app/meeting-notes/:meetingNoteId,N/A,meeting note body 민감 정보 노출 확인,"console, error toast, Admin 기본 목록에 원문 body가 노출되지 않는다",,,,,,USER-MEETING-005
P0,062,User Web,Import,https://onehandsales.vercel.app/app/import,/api/imports/active; /api/imports,"파일 업로드, 잘못된 파일 형식/용량 제한, active job 표시 확인","업로드 후 import job이 생성되고 active job에 표시되며, 제한 실패는 안전한 메시지로 표시된다",,,,,,USER-IMPORT-002
P0,063,User Web,Import,https://onehandsales.vercel.app/app/import/review/:importJobId,/api/imports/:importJobId; /api/imports/:importJobId/map; /api/imports/:importJobId/mapping; /api/imports/:importJobId/rows; /api/imports/:importJobId/validate; /api/imports/:importJobId/errors,"mapping 자동/수동 수정, row 수정, validation error 확인",오류 위치와 수정 상태가 명확하고 저장 전 검증이 동작한다,,,,,,USER-IMPORT-003
P0,064,User Web,Import,https://onehandsales.vercel.app/app/import/review/:importJobId,/api/imports/:importJobId/confirm; /api/imports/:importJobId/cancel,confirm idempotency와 cancel 확인,중복 저장이 없고 cancel 후 active job에서 사라진다,,,,,,USER-IMPORT-004
P0,067,User Web,Trash,https://onehandsales.vercel.app/app/trash,/api/trash,"Trash 목록, domain/status/filter/pagination 확인",삭제 데이터와 필터 결과가 실제 상태와 일치한다,,,,,,USER-TRASH-001
P0,069,User Web,Trash,https://onehandsales.vercel.app/app/trash,/api/trash/:targetType/:targetId/restore,복구 가능한 항목 restore 확인,원래 목록/상세/검색에 다시 나타난다,,,,,,USER-TRASH-003
P0,071,User Web,Settings,https://onehandsales.vercel.app/app/settings,/api/users/me/profile; /api/users/me/devices,profile 수정과 device 목록 확인,"name, locale, timeZone, country, currency가 저장되고 현재 기기가 표시된다",,,,,,USER-SETTINGS-001
P0,081,Admin Web,Auth,https://onehandsales-admin.vercel.app/login,/admin/api/me,"admin token, token 없음, 일반 사용자 token 접근 확인",admin만 진입하고 일반 사용자는 차단된다,,,,,,ADMIN-AUTH-001
P0,082,Admin Web,Auth,https://onehandsales-admin.vercel.app/login,/admin/api/me,개발용 우회와 실패 메시지 확인,mock continue 버튼이 없고 token/raw auth response가 노출되지 않는다,,,,,,ADMIN-AUTH-002
P0,084,Admin Web,사용자,https://onehandsales-admin.vercel.app/users,/admin/api/users,"사용자 목록 pagination, search, filter 확인",query와 목록이 일치하고 기본 목록은 필요한 운영 정보만 표시한다,,,,,,ADMIN-USERS-001
P0,085,Admin Web,사용자,https://onehandsales-admin.vercel.app/users/:userId,/admin/api/users/:userId,사용자 overview와 domain count 확인,"계정 상태, provider, domain count가 표시되고 원문 PII는 기본 노출되지 않는다",,,,,,ADMIN-USERS-002
P0,088,Admin Web,도메인 조회,https://onehandsales-admin.vercel.app/users/:userId/domain,/admin/api/users/:userId/domain-records,domain별 read-only 목록 확인,회사/담당자/제품/딜/일정/회의록 row와 삭제 상태가 표시된다,,,,,,ADMIN-DOMAIN-001
P0,089,Admin Web,민감 원문,https://onehandsales-admin.vercel.app/users/:userId/domain,/admin/api/sensitive/raw-access,10자 이상 사유 입력 후 원문 조회 확인,사유 검증이 동작하고 성공 후 원문은 기본 목록에 남지 않는다,,,,,,ADMIN-DOMAIN-002
P0,090,Admin Web,민감 원문,"https://onehandsales-admin.vercel.app/users/:userId/domain, https://onehandsales-admin.vercel.app/audit-logs",/admin/api/sensitive/raw-access; /admin/api/audit-logs,원문 조회 후 감사 로그 확인,sensitive raw access 로그가 audit log에 남는다,,,,,,ADMIN-DOMAIN-003
P0,091,Admin Web,사용자 Trash,https://onehandsales-admin.vercel.app/users/:userId/trash,/admin/api/users/:userId/trash-summary; /admin/api/users/:userId/trash-records,"사용자별 Trash summary, 목록, filter 확인",삭제/만료/복구 가능 상태가 실제 데이터와 일치한다,,,,,,ADMIN-TRASH-001
P0,097,Admin Web,Audit Logs,https://onehandsales-admin.vercel.app/audit-logs,/admin/api/audit-logs,"adminUserId, targetUserId, action, result, from/to filter 확인",감사 로그 filter와 pagination이 정상 동작한다,,,,,,ADMIN-AUDIT-001
P0,098,Admin Web,Audit Logs,https://onehandsales-admin.vercel.app/audit-logs,/admin/api/audit-logs,민감 정보 console 노출 확인,raw reason과 raw response body가 console에 직접 노출되지 않는다,,,,,,ADMIN-AUDIT-002
P0,100,Admin Web,System,https://onehandsales-admin.vercel.app/system,/admin/api/system/operation-checks,notes/items secret 입력/표시 점검,secret 값이 기록되거나 화면에 그대로 남지 않아야 한다,,,,,,ADMIN-SYSTEM-002
P0,107,BE,Integration,BE API,/api/health; 보호 /api/*; /admin/api/*,"health check, 비로그인, 잘못된 token, 일반 사용자 admin 접근, 없는 route, 예외 응답 shape 확인","health는 200, 보호 API는 401/403/404/400을 안전한 body로 반환하고 stack/raw provider 오류가 노출되지 않는다",,,,,,BE-API-001
P0,108,BE,Validation,BE Core DTO/Validation,Company/Contact/Product/Deal/Schedule/MeetingNote/BusinessCard/Import DTO,"core domain 필수/선택 필드, enum, date-only, timeZone, currency, phone, upload size/type, DTO whitelist 확인",잘못된 입력은 400으로 차단되고 허용되지 않은 필드는 저장되지 않으며 오류 메시지는 안전하다,,,,,,BE-DTO-001
P0,109,BE,Ownership/Transaction,BE Core Ownership/Transaction,Company/Contact/Product/Deal/Schedule/MeetingNote/BusinessCard/Trash/Import,"타 사용자 데이터 접근, soft delete 후 일반 목록 미노출, restore 후 재노출, import/복합 저장 transaction rollback 확인",ownership 경계가 403/404로 지켜지고 실패 중간 상태에서 부분 저장이 남지 않는다,,,,,,BE-DATA-001
P1,004,User Web,Public,"https://onehandsales.vercel.app/, https://onehandsales.vercel.app/login, https://onehandsales.vercel.app/signup, https://onehandsales.vercel.app/pricing, https://onehandsales.vercel.app/contact, https://onehandsales.vercel.app/about, https://onehandsales.vercel.app/security, https://onehandsales.vercel.app/terms, https://onehandsales.vercel.app/privacy",N/A,legacy public path 접속,기본 locale path로 redirect되고 보호 API를 호출하지 않는다,,,,,,USER-PUBLIC-001
P1,010,User Web,공통,https://onehandsales.vercel.app/app/*,/api/analytics/events,route 이동과 주요 클릭 중 analytics 실패 처리 확인,analytics 실패가 화면 사용을 막지 않고 민감 정보가 전송되지 않는다,,,,,,USER-COMMON-002
P1,011,User Web,공통,https://onehandsales.vercel.app/app/*,/api/notifications/unread-count,AppShell 알림 count 조회 실패/성공 확인,"성공 시 count 표시, 실패해도 전체 화면은 깨지지 않는다",,,,,,USER-COMMON-003
P1,013,User Web,홈,https://onehandsales.vercel.app/app,/api/me; /api/schedules?view=...&baseDate=...; /api/deals/stage-counts; /api/deals?sort=...; /api/meeting-notes?sort=...,"로그인 직후 홈 로드, locale/timeZone, 오늘 일정, 최근/마감 임박 딜, 최근 회의록, stage count 반영 확인",사용자 기본 설정이 홈 화면 날짜/문구/대시보드 카드와 목록에 일관되게 반영된다,,,,,,USER-HOME-001
P1,014,User Web,일정/주간 리포트,https://onehandsales.vercel.app/app/schedules/week,/api/sales-reports/weekly; /api/sales-reports/weekly?weekStart=...,"주간 리포트 생성, 중복 클릭, 주차 이동 확인","idempotency 중복 생성 없음, 생성/실패/완료 상태가 구분된다",,,,,,USER-SCHEDULE-AI-001
P1,018,User Web,회사,https://onehandsales.vercel.app/app/companies,/api/company-fields; /api/company-fields/:fieldId; /api/company-regions; /api/company-regions/:regionId,field/region option 생성/삭제 확인,option 변경이 form과 필터에 반영된다,,,,,,USER-COMPANY-003
P1,019,User Web,회사,https://onehandsales.vercel.app/app/companies/:companyId,/api/companies/:companyId/contacts; /api/companies/:companyId/deals,회사 상세의 연결 담당자/딜 확인,관계 데이터가 실제 연결과 일치한다,,,,,,USER-COMPANY-004
P1,020,User Web,회사,https://onehandsales.vercel.app/app/companies/:companyId,/api/companies/:companyId/memo-logs; /api/companies/:companyId/memo-logs/:memoLogId; /api/companies/:companyId/private-memo-logs; /api/companies/:companyId/private-memo-logs/:privateMemoLogId,일반 메모와 private memo CRUD 확인,작성/수정/삭제/pagination이 동작하고 권한 경계가 지켜진다,,,,,,USER-COMPANY-005
P1,025,User Web,담당자,https://onehandsales.vercel.app/app/contacts,/api/contact-job-grades; /api/contact-job-grades/:jobGradeId; /api/contact-departments; /api/contact-departments/:departmentId,직급/부서 option 생성/삭제 확인,option 변경이 form과 필터에 반영된다,,,,,,USER-CONTACT-003
P1,026,User Web,담당자,https://onehandsales.vercel.app/app/contacts/:contactId,/api/contacts/:contactId/deals,담당자 상세의 연결 딜 확인,관계 데이터가 실제 연결과 일치한다,,,,,,USER-CONTACT-004
P1,027,User Web,담당자,https://onehandsales.vercel.app/app/contacts/:contactId,/api/contacts/:contactId/memo-logs; /api/contacts/:contactId/memo-logs/:memoLogId; /api/contacts/:contactId/private-memo-logs; /api/contacts/:contactId/private-memo-logs/:privateMemoLogId,일반 메모와 private memo CRUD 확인,작성/수정/삭제/pagination이 동작하고 권한 경계가 지켜진다,,,,,,USER-CONTACT-005
P1,033,User Web,제품,https://onehandsales.vercel.app/app/products,/api/product-categories; /api/product-categories/:categoryId; /api/product-statuses; /api/product-statuses/:statusId,카테고리/상태 option 생성/삭제 확인,option 변경이 form과 필터에 반영된다,,,,,,USER-PRODUCT-003
P1,034,User Web,제품,https://onehandsales.vercel.app/app/products/:productId,/api/products/:productId/deals,제품 상세의 연결 딜 확인,관계 데이터와 금액 표시가 실제 연결과 일치한다,,,,,,USER-PRODUCT-004
P1,035,User Web,제품,https://onehandsales.vercel.app/app/products/:productId,/api/products/:productId/memo-logs; /api/products/:productId/memo-logs/:memoLogId; /api/products/:productId/private-memo-logs; /api/products/:productId/private-memo-logs/:privateMemoLogId,일반 메모와 private memo CRUD 확인,작성/수정/삭제/pagination이 동작하고 권한 경계가 지켜진다,,,,,,USER-PRODUCT-005
P1,040,User Web,딜,https://onehandsales.vercel.app/app/deals/:dealId,/api/deals/:dealId/activities; /api/deals/:dealId/activities/:activityId; /api/deals/:dealId/following-action-logs; /api/deals/:dealId/following-action-logs/:followingActionLogId,activity와 following action 생성/수정/삭제 확인,timeline과 다음 행동 상태가 최신으로 갱신된다,,,,,,USER-DEAL-003
P1,041,User Web,딜,https://onehandsales.vercel.app/app/deals/:dealId,/api/deals/:dealId/memo-logs; /api/deals/:dealId/memo-logs/:memoLogId,딜 메모 CRUD와 pagination 확인,작성/수정/삭제가 반영되고 타 사용자 데이터가 보이지 않는다,,,,,,USER-DEAL-004
P1,046,User Web,일정,https://onehandsales.vercel.app/app/schedules/:scheduleId,/api/schedules/:scheduleId,meeting URL validation 확인,https가 아닌 URL은 안전한 validation 메시지로 막힌다,,,,,,USER-SCHEDULE-003
P1,049,User Web,일정/설정,"https://onehandsales.vercel.app/app/schedules, https://onehandsales.vercel.app/app/settings",/api/schedules/google/status; /api/schedules/google/connect; /api/schedules/google/callback; /api/schedules/google/calendars; /api/schedules/google/sync; /api/schedules/google/disconnect,"Google Calendar 연결, callback, 선택, 동기화, 연결 해제 확인","환경이 있으면 end-to-end 통과, provider 환경이 없으면 BLOCKED/N/A로 일반 일정 QA와 분리",,,,,,USER-SCHEDULE-006
P1,052,User Web,회의록,"https://onehandsales.vercel.app/app/meeting-notes/new/full, https://onehandsales.vercel.app/app/meeting-notes/:meetingNoteId",/api/meeting-notes/ai-draft,"텍스트 원문 기반 회의록 AI draft 생성, provider 실패/재시도 상태 확인",AI 초안이 수동 저장 전 preview로 표시되고 실패는 안전한 메시지와 재시도 동선으로 분리된다,,,,,,USER-MEETING-AI-001
P1,055,User Web,명함 OCR,https://onehandsales.vercel.app/app/business-cards,/api/business-card-scans; /api/business-card-scans/:scanLogId,"이미지 업로드, 진행 중, 성공, 실패 상태 확인",상태가 분리되어 보이고 실패가 안전한 메시지로 표시된다,,,,,,USER-CARD-001
P1,056,User Web,명함 OCR,https://onehandsales.vercel.app/app/business-cards,/api/business-card-scans/:scanLogId/confirm,OCR 결과 수정 후 회사/담당자 저장 확인,신규 생성 또는 기존 데이터 연결 후 목록/검색에 노출된다,,,,,,USER-CARD-002
P1,058,User Web,알림,https://onehandsales.vercel.app/app/notifications,/api/notifications; /api/notifications/:notificationId/read; /api/notifications/unread-count,"알림 목록, 읽음 처리, count 갱신 확인",읽음 처리 후 목록과 shell unread count가 함께 갱신된다,,,,,,USER-NOTI-001
P1,061,User Web,Import,https://onehandsales.vercel.app/app/import,/api/import-templates/active; /api/import-templates/:templateId/download,템플릿 목록과 언어별 다운로드 확인,선택한 target/language 기준 템플릿 파일이 내려온다,,,,,,USER-IMPORT-001
P1,065,User Web,Import,https://onehandsales.vercel.app/app/import/:importUserLogId,/api/import-user-logs; /api/import-user-logs/:importUserLogId,import user log 목록/상세 확인,"template column, row result, error가 표시된다",,,,,,USER-IMPORT-005
P1,068,User Web,Trash,https://onehandsales.vercel.app/app/trash,/api/trash/:targetType/:targetId,Trash 상세 확인,"삭제 시각, 만료 시각, 관계 상태가 안전하게 표시된다",,,,,,USER-TRASH-002
P1,070,User Web,Trash,https://onehandsales.vercel.app/app/trash,/api/trash/recovery-requests,복구 불가/만료 항목의 복구 요청 확인,요청 후 Admin trash recovery queue에 표시된다,,,,,,USER-TRASH-004
P1,072,User Web,Settings,https://onehandsales.vercel.app/app/settings,/api/users/me/data-export-requests; /api/users/me/data-export-requests/:requestId,데이터 export 요청 생성/상세 확인,요청 상태와 다운로드 URL 노출 조건이 올바르다,,,,,,USER-SETTINGS-002
P1,073,User Web,Settings,https://onehandsales.vercel.app/app/settings,/api/users/me/account-deletion-requests; /api/users/me/account-deletion-requests/:requestId/cancel,계정 삭제 요청과 cancel 확인,요청 상태가 바뀌고 취소 후 재요청 가능 여부가 명확하다,,,,,,USER-SETTINGS-003
P1,076,User Web,More,https://onehandsales.vercel.app/app/more,/api/auth/logout; /api/me,보조 메뉴 이동과 logout 확인,작은 화면 메뉴가 정상 이동하고 logout 후 보호 route가 차단된다,,,,,,USER-MORE-001
P1,077,User Web,More,https://onehandsales.vercel.app/app/more,N/A,숨긴 기능 노출 확인,"billing, generic export, admin 진입 링크가 사용자에게 노출되지 않는다",,,,,,USER-MORE-002
P1,083,Admin Web,Home,https://onehandsales-admin.vercel.app/,/admin/api/me,AdminShell과 navigation 로드 확인,권한 guard가 유지되고 index placeholder는 운영 데이터 API를 호출하지 않는다,,,,,,ADMIN-HOME-001
P1,086,Admin Web,사용자,https://onehandsales-admin.vercel.app/users/:userId,/admin/api/users/:userId/activity-timeline,activity timeline cursor/filter 확인,활동 이력이 cursor/filter 기준으로 이어진다,,,,,,ADMIN-USERS-003
P1,087,Admin Web,사용자,https://onehandsales-admin.vercel.app/users/:userId,/admin/api/users/:userId,overview의 trash summary panel과 Trash 이동 링크 확인,요약 수치가 표시되고 /users/:userId/trash로 이동한다,,,,,,ADMIN-USERS-004
P1,092,Admin Web,사용자 Trash,https://onehandsales-admin.vercel.app/users/:userId/trash,N/A,Admin 직접 복구 mutation 노출 여부 확인,현재 read-only 화면이면 직접 restore 버튼이 없어야 한다,,,,,,ADMIN-TRASH-002
P1,093,Admin Web,Provider Failure,https://onehandsales-admin.vercel.app/provider-failures,/admin/api/provider-failures; /admin/api/provider-failures/:failureId,provider failure 목록/상세/filter 확인,safe payload만 표시되고 secret/token/raw response가 노출되지 않는다,,,,,,ADMIN-PROVIDER-001
P1,094,Admin Web,Account Requests,https://onehandsales-admin.vercel.app/account-requests,/admin/api/account-deletion-requests; /admin/api/data-export-requests,계정 삭제 요청과 데이터 export 요청 queue 확인,사용자 settings에서 만든 요청이 status/date filter와 함께 표시된다,,,,,,ADMIN-REQUEST-001
P1,095,Admin Web,Recovery Requests,https://onehandsales-admin.vercel.app/trash/recovery-requests,/admin/api/trash/recovery-requests,Trash 복구 요청 queue 확인,사용자 Trash에서 만든 요청이 target/status/expiry와 함께 표시된다,,,,,,ADMIN-RECOVERY-001
P1,099,Admin Web,System,https://onehandsales-admin.vercel.app/system,/admin/api/system/operation-checks/latest; /admin/api/system/operation-checks,운영 gate 최신 결과와 새 점검 생성 확인,"empty state, PASS/WARN/FAIL 표시, 저장 결과가 정상 동작한다",,,,,,ADMIN-SYSTEM-001
P1,103,User Web,일정/주간 리포트,https://onehandsales.vercel.app/app/schedules/week,/api/follow-up-messages/drafts; /api/follow-up-messages?sourceReportId=...; /api/follow-up-messages/:messageId; /api/follow-up-messages/:messageId/send; /api/follow-up-messages/:messageId/retry,"주간 리포트 기반 follow-up draft, 수정, 전송, 재시도 확인",연결 설정 상태에 따라 전송 가능 여부가 명확하고 실패는 안전한 메시지로 표시된다,,,,,,USER-SCHEDULE-FOLLOWUP-001
P1,110,BE,Provider Callback,BE external callback,/api/schedules/google/callback; /api/follow-up-delivery/email-connections/:provider/callback,"정상/실패/만료 state, returnTo, provider error, URL query secret/token 노출 여부 확인","성공/실패가 안전한 화면 상태로 연결되고 token/secret/raw provider 응답이 URL, 로그, toast에 노출되지 않는다",,,,,,BE-CALLBACK-001
P2,006,User Web,Public,https://onehandsales.vercel.app/{locale}/pricing,N/A,요금제 CTA와 결제 제외 범위 확인,CTA는 로그인/가입 흐름으로 연결되고 Paddle/Billing은 N/A로 기록한다,,,,,,USER-PUBLIC-003
P2,007,User Web,Public,"https://onehandsales.vercel.app/{locale}/contact, https://onehandsales.vercel.app/{locale}/about, https://onehandsales.vercel.app/{locale}/security, https://onehandsales.vercel.app/{locale}/terms, https://onehandsales.vercel.app/{locale}/privacy",N/A,"정적 페이지 locale, footer link, 모바일 줄바꿈 확인",정적 화면이 깨지지 않고 보호 API를 호출하지 않는다,,,,,,USER-PUBLIC-004
P2,015,User Web,일정/주간 리포트,https://onehandsales.vercel.app/app/schedules/week,/api/sales-reports/weekly/:reportId; /api/sales-reports/weekly/:reportId/snapshot-summary; /api/follow-up-messages?sourceReportId=...,"리포트 상세, snapshot, 후속 메시지 연결 확인",같은 report 기준으로 요약과 후속 메시지가 표시된다,,,,,,USER-SCHEDULE-AI-002
